Min Age,Max Age,Profession,PartnerStatus,SA4 CODE,SA4 (Region name),Tot_inc_amt,Help_debt
15,19,Labourers,No,504,Perth - North East,17820,1000
15,19,Labourers,No,505,Perth - North West,14175,1229
15,19,Labourers,No,506,Perth - South East,20692,178
15,19,Labourers,No,507,Perth - South West,19821,1158
15,19,Labourers,No,508,Western Australia - Outback,26751,648
15,19,Labourers,No,509,Western Australia - Wheat Belt,18108,272
15,19,Labourers,No,601,Hobart,12818,694
15,19,Labourers,No,602,Launceston and North East,13606,601
15,19,Labourers,No,604,West and North West,24380,297
15,19,Labourers,No,701,Darwin,14713,0
15,19,Labourers,No,702,Northern Territory - Outback,10930,0
15,19,Labourers,No,801,Australian Capital Territory,19037,4
15,19,Labourers,No,#N/A,Unknown/Overseas,10938,765
15,19,Labourers,Yes,104,Coffs Harbour - Grafton,50725,0
15,19,Labourers,Yes,124,Sydney - Outer West and Blue Mountains,61934,0
15,19,Labourers,Yes,202,Bendigo,30036,0
15,19,Labourers,Yes,302,Brisbane - North,16117,37438
15,19,Labourers,Yes,309,Gold Coast,612,0
15,19,Labourers,Yes,501,Bunbury,15064,13363
15,19,Labourers,Yes,504,Perth - North East,11364,0
15,19,Machinery operators and drivers,No,101,Capital Region,1917,0
15,19,Machinery operators and drivers,No,102,Central Coast,2171,0
15,19,Machinery operators and drivers,No,103,Central West,14642,0
15,19,Machinery operators and drivers,No,105,Far West and Orana,74247,0
15,19,Machinery operators and drivers,No,106,Hunter Valley exc Newcastle,26209,0
15,19,Machinery operators and drivers,No,108,Mid North Coast,15305,0
15,19,Machinery operators and drivers,No,109,Murray,20595,0
15,19,Machinery operators and drivers,No,112,Richmond - Tweed,29392,0
15,19,Machinery operators and drivers,No,113,Riverina,23662,1621
15,19,Machinery operators and drivers,No,114,Southern Highlands and Shoalhaven,22682,0
15,19,Machinery operators and drivers,No,115,Sydney - Baulkham Hills and Hawkesbury,25400,3633
15,19,Machinery operators and drivers,No,116,Sydney - Blacktown,16008,0
15,19,Machinery operators and drivers,No,117,Sydney - City and Inner South,4817,0
15,19,Machinery operators and drivers,No,119,Sydney - Inner South West,18835,0
15,19,Machinery operators and drivers,No,121,Sydney - North Sydney and Hornsby,40291,0
15,19,Machinery operators and drivers,No,122,Sydney - Northern Beaches,18637,0
15,19,Machinery operators and drivers,No,123,Sydney - Outer South West,19721,1539
15,19,Machinery operators and drivers,No,124,Sydney - Outer West and Blue Mountains,13150,0
15,19,Machinery operators and drivers,No,125,Sydney - Parramatta,10196,2516
15,19,Machinery operators and drivers,No,127,Sydney - South West,16356,0
15,19,Machinery operators and drivers,No,128,Sydney - Sutherland,25804,4173
15,19,Machinery operators and drivers,No,204,Hume,8239,0
15,19,Machinery operators and drivers,No,205,Latrobe - Gippsland,16674,0
15,19,Machinery operators and drivers,No,207,Melbourne - Inner East,10445,5152
15,19,Machinery operators and drivers,No,208,Melbourne - Inner South,33191,0
15,19,Machinery operators and drivers,No,209,Melbourne - North East,16721,0
15,19,Machinery operators and drivers,No,210,Melbourne - North West,8877,0
15,19,Machinery operators and drivers,No,211,Melbourne - Outer East,8627,0
15,19,Machinery operators and drivers,No,212,Melbourne - South East,24399,1576
15,19,Machinery operators and drivers,No,213,Melbourne - West,17310,0
15,19,Machinery operators and drivers,No,215,North West,20237,0
15,19,Machinery operators and drivers,No,301,Brisbane - East,7270,0
15,19,Machinery operators and drivers,No,302,Brisbane - North,21490,0
15,19,Machinery operators and drivers,No,303,Brisbane - South,14314,3127
15,19,Machinery operators and drivers,No,304,Brisbane - West,4907,3715
15,19,Machinery operators and drivers,No,305,Brisbane Inner City,9480,0
15,19,Machinery operators and drivers,No,306,Cairns,13796,0
15,19,Machinery operators and drivers,No,307,Darling Downs - Maranoa,21781,0
15,19,Machinery operators and drivers,No,308,Fitzroy,32520,20294
15,19,Machinery operators and drivers,No,309,Gold Coast,8345,646
15,19,Machinery operators and drivers,No,310,Ipswich,16841,0
15,19,Machinery operators and drivers,No,311,Logan - Beaudesert,21767,0
15,19,Machinery operators and drivers,No,312,Mackay,117572,0
15,19,Machinery operators and drivers,No,313,Moreton Bay - North,24278,0
15,19,Machinery operators and drivers,No,316,Sunshine Coast,57584,0
15,19,Machinery operators and drivers,No,317,Toowoomba,30169,0
15,19,Machinery operators and drivers,No,319,Wide Bay,41761,0
15,19,Machinery operators and drivers,No,402,Adelaide - North,19723,0
15,19,Machinery operators and drivers,No,404,Adelaide - West,33067,1969
15,19,Machinery operators and drivers,No,405,Barossa - Yorke - Mid North,19938,0
15,19,Machinery operators and drivers,No,407,South Australia - South East,18080,0
15,19,Machinery operators and drivers,No,501,Bunbury,17290,0
15,19,Machinery operators and drivers,No,503,Perth - Inner,14704,0
15,19,Machinery operators and drivers,No,504,Perth - North East,13748,0
15,19,Machinery operators and drivers,No,505,Perth - North West,20656,0
15,19,Machinery operators and drivers,No,506,Perth - South East,18879,0
15,19,Machinery operators and drivers,No,507,Perth - South West,42258,0
15,19,Machinery operators and drivers,No,508,Western Australia - Outback,43579,0
15,19,Machinery operators and drivers,No,509,Western Australia - Wheat Belt,26537,0
15,19,Machinery operators and drivers,No,602,Launceston and North East,20582,0
