State,Year,Month,Vacancies
TAS,2006,5,2400
TAS,2006,8,2300
TAS,2006,11,2500
TAS,2007,2,2500
TAS,2007,5,2300
TAS,2007,8,2800
TAS,2007,11,2600
TAS,2008,2,2600
TAS,2008,5,2600
TAS,2008,8,0
TAS,2008,11,0
TAS,2009,2,0
TAS,2009,5,0
TAS,2009,8,0
TAS,2009,11,2000
TAS,2010,2,2800
TAS,2010,5,1700
TAS,2010,8,2600
TAS,2010,11,2600
TAS,2011,2,2300
TAS,2011,5,2300
TAS,2011,8,2300
TAS,2011,11,2600
TAS,2012,2,1900
TAS,2012,5,2000
TAS,2012,8,2500
TAS,2012,11,2100
TAS,2013,2,2200
TAS,2013,5,1700
TAS,2013,8,1800
TAS,2013,11,1900
TAS,2014,2,1900
TAS,2014,5,2000
TAS,2014,8,2200
TAS,2014,11,2300
TAS,2015,2,2500
TAS,2015,5,2000
TAS,2015,8,2400
TAS,2015,11,2700
TAS,2016,2,2500
TAS,2016,5,1900
NT,1979,5,0
NT,1979,8,0
NT,1979,11,0
NT,1980,2,0
NT,1980,5,0
NT,1980,8,0
NT,1980,11,0
NT,1981,2,0
NT,1981,5,0
NT,1981,8,0
NT,1981,11,0
NT,1982,2,0
NT,1982,5,0
NT,1982,8,0
NT,1982,11,0
NT,1983,2,0
NT,1983,5,0
NT,1983,8,0
NT,1983,11,500
NT,1984,2,500
NT,1984,5,700
NT,1984,8,700
NT,1984,11,900
NT,1985,2,1600
NT,1985,5,1400
NT,1985,8,900
NT,1985,11,1100
NT,1986,2,1100
NT,1986,5,1300
NT,1986,8,900
NT,1986,11,1300
NT,1987,2,800
NT,1987,5,800
NT,1987,8,1000
NT,1987,11,1000
NT,1988,2,900
NT,1988,5,700
NT,1988,8,1000
NT,1988,11,1400
NT,1989,2,1000
NT,1989,5,1200
NT,1989,8,1000
NT,1989,11,900
NT,1990,2,1000
NT,1990,5,600
NT,1990,8,800
NT,1990,11,700
NT,1991,2,500
NT,1991,5,200
NT,1991,8,500
NT,1991,11,600
NT,1992,2,400
NT,1992,5,300
NT,1992,8,700
NT,1992,11,900
NT,1993,2,400
NT,1993,5,600
NT,1993,8,700
NT,1993,11,800
NT,1994,2,400
NT,1994,5,800
NT,1994,8,1300
NT,1994,11,600
NT,1995,2,600
NT,1995,5,1200
NT,1995,8,1000
NT,1995,11,800
NT,1996,2,1000
NT,1996,5,1000
NT,1996,8,1000
NT,1996,11,1300
NT,1997,2,800
NT,1997,5,1000
NT,1997,8,1200
NT,1997,11,800
NT,1998,2,2000
NT,1998,5,1900
NT,1998,8,1600
NT,1998,11,800
NT,1999,2,1600
NT,1999,5,1300
NT,1999,8,1300
NT,1999,11,1200
NT,2000,2,1600
NT,2000,5,1000
NT,2000,8,1800
NT,2000,11,900
NT,2001,2,1300
NT,2001,5,1100
NT,2001,8,1100
NT,2001,11,800
NT,2002,2,1200
NT,2002,5,1100
NT,2002,8,1500
NT,2002,11,1900
NT,2003,2,1800
NT,2003,5,1200
NT,2003,8,1300
NT,2003,11,1400
NT,2004,2,1800
NT,2004,5,2400
NT,2004,8,2000
NT,2004,11,2800
NT,2005,2,2300
NT,2005,5,2300
NT,2005,8,2700
NT,2005,11,2100
NT,2006,2,1900
NT,2006,5,2400
NT,2006,8,2600
NT,2006,11,2700
NT,2007,2,2500
NT,2007,5,2400
NT,2007,8,2800
NT,2007,11,3500
NT,2008,2,4200
NT,2008,5,3600
NT,2008,8,0
NT,2008,11,0
NT,2009,2,0
NT,2009,5,0
NT,2009,8,0
NT,2009,11,2900
NT,2010,2,4400
NT,2010,5,4100
NT,2010,8,4300
NT,2010,11,3900
NT,2011,2,3800
NT,2011,5,4200
NT,2011,8,3100
NT,2011,11,2600
NT,2012,2,3200
NT,2012,5,2300
NT,2012,8,3200
NT,2012,11,2600
NT,2013,2,2700
NT,2013,5,3200
NT,2013,8,3600
NT,2013,11,3400
NT,2014,2,4200
NT,2014,5,3900
NT,2014,8,3800
NT,2014,11,3600
NT,2015,2,2800
NT,2015,5,3000
NT,2015,8,2500
NT,2015,11,2300
NT,2016,2,2600
NT,2016,5,2300
ACT,1979,5,0
ACT,1979,8,0
ACT,1979,11,0
ACT,1980,2,0
ACT,1980,5,0
ACT,1980,8,0
ACT,1980,11,0
ACT,1981,2,0
ACT,1981,5,0
ACT,1981,8,0
ACT,1981,11,0
ACT,1982,2,0
ACT,1982,5,0
ACT,1982,8,0
ACT,1982,11,0
ACT,1983,2,0
ACT,1983,5,0
ACT,1983,8,0
ACT,1983,11,1400
ACT,1984,2,1400
ACT,1984,5,1700
ACT,1984,8,1300
ACT,1984,11,1500
ACT,1985,2,2700
ACT,1985,5,2900
ACT,1985,8,2200
ACT,1985,11,2500
ACT,1986,2,2700
ACT,1986,5,3000
ACT,1986,8,2700
ACT,1986,11,2200
ACT,1987,2,2300
ACT,1987,5,1700
ACT,1987,8,1700
ACT,1987,11,2400
ACT,1988,2,2200
ACT,1988,5,2100
ACT,1988,8,2300
ACT,1988,11,2500
ACT,1989,2,2900
ACT,1989,5,2500
ACT,1989,8,2500
ACT,1989,11,2500
ACT,1990,2,2900
ACT,1990,5,2400
ACT,1990,8,2400
ACT,1990,11,2300
ACT,1991,2,1800
ACT,1991,5,2000
ACT,1991,8,1500
ACT,1991,11,1800
ACT,1992,2,1300
ACT,1992,5,1500
ACT,1992,8,1400
ACT,1992,11,1700
ACT,1993,2,1100
ACT,1993,5,1900
ACT,1993,8,1600
ACT,1993,11,1300
ACT,1994,2,1700
ACT,1994,5,2300
ACT,1994,8,2900
ACT,1994,11,1500
ACT,1995,2,1500
ACT,1995,5,1500
ACT,1995,8,900
ACT,1995,11,1700
ACT,1996,2,1900
ACT,1996,5,900
ACT,1996,8,1200
ACT,1996,11,1800
ACT,1997,2,1200
ACT,1997,5,1300
ACT,1997,8,1200
ACT,1997,11,1200
ACT,1998,2,1200
ACT,1998,5,1600
ACT,1998,8,2100
ACT,1998,11,1600
ACT,1999,2,2500
ACT,1999,5,2500
ACT,1999,8,3400
ACT,1999,11,4000
ACT,2000,2,4100
ACT,2000,5,3200
ACT,2000,8,3100
ACT,2000,11,3700
ACT,2001,2,3300
ACT,2001,5,2600
ACT,2001,8,3300
ACT,2001,11,3000
ACT,2002,2,4200
ACT,2002,5,3200
ACT,2002,8,3200
ACT,2002,11,1700
ACT,2003,2,2300
ACT,2003,5,2200
ACT,2003,8,2400
ACT,2003,11,2200
ACT,2004,2,2200
ACT,2004,5,2600
ACT,2004,8,3100
ACT,2004,11,3500
ACT,2005,2,4000
ACT,2005,5,4000
ACT,2005,8,4400
ACT,2005,11,3900
ACT,2006,2,3800
ACT,2006,5,3900
ACT,2006,8,4700
ACT,2006,11,4500
ACT,2007,2,4800
ACT,2007,5,5300
ACT,2007,8,6100
ACT,2007,11,5900
ACT,2008,2,4900
ACT,2008,5,5600
ACT,2008,8,0
ACT,2008,11,0
ACT,2009,2,0
ACT,2009,5,0
ACT,2009,8,0
ACT,2009,11,6200
ACT,2010,2,5800
ACT,2010,5,4700
ACT,2010,8,6200
ACT,2010,11,6800
ACT,2011,2,6200
ACT,2011,5,6400
ACT,2011,8,6000
ACT,2011,11,4900
ACT,2012,2,5800
ACT,2012,5,4700
ACT,2012,8,4700
ACT,2012,11,3900
ACT,2013,2,2800
ACT,2013,5,2800
ACT,2013,8,2700
ACT,2013,11,2600
ACT,2014,2,3000
ACT,2014,5,3200
ACT,2014,8,3400
ACT,2014,11,3800
ACT,2015,2,2900
ACT,2015,5,3600
ACT,2015,8,5100
ACT,2015,11,6000
ACT,2016,2,4800
ACT,2016,5,4900
