SA4 Code,SA4 Name,Field,Number Of People
406,South Australia - Outback,Education,1976
407,South Australia - South East,Education,3977
501,Bunbury,Education,4779
502,Mandurah,Education,2019
503,Perth - Inner,Education,5203
504,Perth - North East,Education,5674
505,Perth - North West,Education,14670
506,Perth - South East,Education,10627
507,Perth - South West,Education,10098
508,Western Australia - Outback,Education,5284
509,Western Australia - Wheat Belt,Education,3710
601,Hobart,Education,5899
602,Launceston and North East,Education,3676
603,South East,Education,695
604,West and North West,Education,2575
701,Darwin,Education,3285
702,Northern Territory - Outback,Education,2433
801,Australian Capital Territory,Education,10275
101,Capital Region,Management & Commerce,9144
